Name_1,HaKiDaSName,RA_1,DEC_1,GaiaID,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Vmag,Kmag_x,Name_2,Teff,logg,RefstarID,[Fe/H],[Fe/H]error,rv_HDS
BD-14.5890,HaKiDaS00001,314.039958,-13.522228,6888560851915102464,9.942824,10.420177,9.32247,10.217,7.939,BD-14.5890,4904.62367086,2.07916073202,0,-2.06030923428,0.0179213782573,3.48076246998
HD110184,HaKiDaS00002,190.056975,8.525367,3710786979933623424,7.8635116,8.553203,7.097392,8.312000000000001,5.346,HD110184,4273.52604005,0.488027707061,0,-2.52733210785,0.395136152981,3.47000210306
DXDel,HaKiDaS00003,311.869292,12.466678,1760981190300823808,9.917064,10.224061,9.493805,9.932,8.673,DXDel,6550.96246512,3.5127083448800005,2,-0.723207634897,0.44902334423900003,17.022350674600002
BRAqr,HaKiDaS00004,354.639004,-9.317717,2438710609949867776,11.538099,11.675969,11.064935,11.311,10.302999999999999,BRAqr,7022.25955815,3.3766528244,1,-0.27412778326,0.077291827115,28.358801383600003
HD36054,HaKiDaS00005,82.5125,23.760389,3416618313279749504,7.666823399999999,8.4182205,6.845208,8.226,4.7989999999999995,HD36054,5339.25279308,1.63264404178,1,-0.792885489588,0.0998230617017,-20.72
HD220838,HaKiDaS00006,351.820717,-26.982591999999997,2380163711714608000,8.997897,9.65563,8.249158,9.392999999999999,6.483,HD220838,4300.36473037,0.796365564454,0,-1.8543888051400004,0.0664976710043,-4.8
64390,HaKiDaS00007,196.04485,27.723616999999997,1460563659764508032,10.252858,10.486130000000001,9.893108,10.318,9.283999999999999,64390,6672.01254654,4.07647498211,0,-1.4939206541299999,0.151153163189,1.7912367808200003
BD+12916,HaKiDaS00008,215.441096,0.782031,3654035240588664960,9.157844,9.910225,8.351521,9.734,6.472,BD+12916,4094.30112845,0.565249649937,0,-1.9321228237299999,0.07619796274610001,19.45
BD+173248,HaKiDaS00009,262.060017,17.508039,4553184509407224576,9.120381,9.537315,8.563454,9.345,7.337999999999999,BD+173248,5151.29420029,2.11557807984,0,-1.6902962163799997,0.129797554303,-6.249849156390001
HD100764,HaKiDaS00010,173.93033300000002,-14.595253,3560840738097581824,8.5027,9.002993,7.8867164,8.707,6.153,HD100764,4591.96326096,2.75722274559,1,-0.599711393718,0.213771622878,-26.5915272123
TWHer,HaKiDaS00011,268.631279,30.413519,4596935593202765184,11.368922,11.49129,10.910942,11.267000000000001,10.135,TWHer,6796.18716598,3.4730335599599997,0,-1.5023589665700001,0.054417561577099996,-2.4220554455700003
HIP56948,HaKiDaS00012,175.122346,69.007361,1061266013453102080,8.513497000000001,8.859568,8.043966000000001,8.683,7.1579999999999995,HIP56948,5725.80390117,4.38945465774,2,0.054060507980699994,0.054331120008899995,-11.41
HD162020,HaKiDaS00013,267.659479,-40.321064,5957920668132624256,8.759494,9.342294,8.068089,9.124,6.539,HD162020,4581.6247123,4.46799763158,1,-0.17078387615899998,0.137402973672,12.139693147200001
RZLyr,HaKiDaS00014,280.909462,32.801278,2090986690417092224,11.697901,11.878963,11.228909,11.575,10.512,RZLyr,7285.34054578,3.4321514687800003,0,-1.58831130184,0.210486167449,2.98477840254
BD+092870,HaKiDaS00015,214.12512900000002,8.463111,3674612772501124608,9.102746,9.658909,8.426986,9.443999999999999,6.869,BD+092870,4604.34539759,1.4742468399200002,0,-2.42811687175,0.0612547195404,23.4506257598
M4L4511,HaKiDaS00016,245.96001299999998,-26.566956,6045464750320089728,10.853139,11.852913000000001,9.892579,11.29,7.23,M4L4511,4100.19194741,1.9365670609299999,1,-0.205561530663,0.311378351879,-28.98
RSBoo,HaKiDaS00018,218.387004,31.757508,1286188056265485952,10.527611,10.824125,10.159286999999999,10.389000000000001,9.531,RSBoo,7084.45742973,3.6231987948800004,2,-0.14760378639799998,0.131856480486,-20.256427115999998
HD252041,HaKiDaS00019,92.09925,28.978422,3436654056540592384,8.380491000000001,9.12964,7.5609827,8.877,5.7,HD252041,4826.91788395,1.9409282066900002,1,-0.255092119852,0.11629869169099999,-17.07
HD74462,HaKiDaS00020,132.08578300000002,67.452228,1093220673214868224,8.349639999999999,8.932264,7.653592,8.689,6.046,HD74462,4556.54775732,1.85066320882,0,-2.0652730163,0.052931475499400006,19.961661398
HD74156,HaKiDaS00021,130.605987,4.579394000000001,582221750852254080,7.469342,7.785616,7.04148,7.622999999999999,6.207999999999999,HD74156,5926.54096874,4.10175829791,2,0.047730684961599996,0.0493250767442,20.9309175609
HD150706,HaKiDaS00022,247.809879,79.78952199999999,1709456705329541504,6.850376,7.1890535,6.408883599999999,7.025,5.565,HD150706,5826.49076914,4.43226420713,2,-0.0720996085134,0.0368981743055,-5.02768188556
HD141531,HaKiDaS00023,237.320346,9.610153,4455529017661900160,8.731442,9.395011,7.980556,9.088,6.215,HD141531,4338.37029902,1.11814153197,0,-1.56852599132,0.0580557109134,-8.56348250702
DMCyg,HaKiDaS00024,320.297458,32.194294,1853751143864356736,11.587441,11.859432,11.095898,11.634,10.199,DMCyg,6331.84725408,3.4980724095199998,0,-1.3924211469299999,0.258147094618,18.0695315566
HD204543,HaKiDaS00025,322.369017,-3.515311,2672702897842335872,7.9833050000000005,8.531269,7.3154487999999995,8.305,5.777,HD204543,4645.75766485,1.57626913668,0,-1.7022898370100001,0.0466881573101,27.1255379729
VXHer,HaKiDaS00026,247.670954,18.369744,4467433017735910912,10.85825,11.073247,10.429688,10.609000000000002,9.508,VXHer,6880.27455262,2.99548942888,0,-1.8822546261200002,0.264170932063,-12.712255912
VYSer,HaKiDaS00027,232.756421,1.6821830000000002,4417888542753226112,10.065284,10.341872,9.609784,10.068999999999999,8.908,VYSer,6661.12838308,3.1116683581099998,0,-1.99629194945,0.306262109415,-20.5489486576
HD112869,HaKiDaS00029,194.843921,37.820789000000005,1517430126275260416,8.335802000000001,9.27714,7.409822,9.006,5.2410000000000005,HD112869,3856.97577166,1.61687443111,0,-1.2314411764700002,0.446829431279,23.0307025806
HD6268,HaKiDaS00030,15.825667000000001,-27.884414000000003,5033960575837265920,7.806767,8.320734,7.1635979999999995,8.111,5.7139999999999995,HD6268,4721.93903906,1.5349002236700002,0,-1.0473198759,0.270120730712,13.2040923862
61990,HaKiDaS00031,195.129717,28.457046999999996,1463849447184497408,10.233981,10.517047999999999,9.814491,10.319,9.062999999999999,61990,6281.69283676,4.03815442615,2,-0.253632049675,0.0634073330018,1.16746601144
HD107752,HaKiDaS00032,185.719667,11.605306,3907404501070114560,9.698839,10.202518,9.064026,10.041,7.6610000000000005,HD107752,4777.15530554,1.68500588646,0,-2.62490584974,0.10104866033900001,10.262623204299999
HD33605,HaKiDaS00034,78.140617,27.605646999999998,3421869821331495552,8.016427,8.887244,7.1293809999999995,8.619,4.93,HD33605,4285.12994594,2.48780785746,1,0.193160404569,0.114754785587,-22.72
HD130322,HaKiDaS00035,221.888171,-0.28335,3650718804281798912,7.8344765,8.250689,7.2994832999999995,8.039,6.234,HD130322,5355.38050027,4.50118162312,2,-0.0464641570087,0.054287232602,-15.062937208800001
HD169830,HaKiDaS00036,276.9572,-29.818808,4048037707717866880,5.7624216,6.056480400000001,5.371653599999999,5.9110000000000005,4.687,HD169830,6216.15974506,4.02646803762,2,-0.896506865002,0.216450306564,12.72
HD119516,HaKiDaS00037,205.859071,15.577542000000001,3742101345970116224,8.887903999999999,9.231034,8.403068,9.13,7.3660000000000005,HD119516,5434.60529964,2.49838532807,0,-1.8726973359799999,0.0681398591937,20.2207875351
HD206739,HaKiDaS00038,326.102583,-11.775222,6844927866837934080,8.240787,8.788905999999999,7.576172,8.611,6.0329999999999995,HD206739,4596.51935517,1.84245735801,0,-1.4347226719400001,0.0466668403123,-28.0440220392
HD241894,HaKiDaS00039,78.816913,29.285771999999998,3422652536173655936,9.096789,9.85251,8.285009,9.578,6.271,HD241894,4491.07385353,2.3376286589200004,1,-0.266437835854,0.101411291615,-21.7
BD-11145,HaKiDaS00040,12.102333,-10.688339,2377539761575614080,10.537825999999999,11.030562,9.903884,10.73,8.495,BD-11145,4924.99121546,1.57017072537,0,-2.86506702499,0.113171067856,27.83
CNLyr,HaKiDaS00041,280.318342,28.725281,4539434124372063744,11.326093,11.647647000000001,10.80866,11.386,10.036,CNLyr,6621.08701693,3.5663580509199995,2,-0.900340135751,0.379866728432,2.74762771286
HE1104-0957,HaKiDaS00042,166.834367,-10.220472000000001,3758906900164720256,10.2751,11.216797,9.409676,10.767999999999999,7.317,HE1104-0957,4056.24521232,1.5355530887900002,1,-0.941557024871,0.33818858041999994,29.2303234487
HD177830,HaKiDaS00043,286.339213,25.918564,2035963417721248128,6.8865967,7.438053599999999,6.238636,7.183,4.809,HD177830,4713.75697403,3.4000475156200003,1,0.13535628584,0.09119353826269999,12.540179604
V1221Tau,HaKiDaS00044,52.059841999999996,4.163725,3275301176136626432,9.557862,9.781369,8.787452,9.639,7.444,V1221Tau,5069.6734422,4.08882883804,0,-2.855,0.519894045149,28.26
