angDist,Name_1,HaKiDaSName,RA_1,DEC_1,GaiaID,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Vmag,Kmag_x,Name_2,Teff,logg,RefstarID,[Fe/H],[Fe/H]error,rv_HDS,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
4.397435,BD-14.5890,HaKiDaS00001,314.039958,-13.522228,6888560851915102464,9.942824,10.420177,9.32247,10.217,7.939,BD-14.5890,4904.62367086,2.07916073202,0,-2.06030923428,0.0179213782573,3.48076246998,91773140387653439,314.038739020,-13.522523660,0.011,0.011,90,268959744,32,55564.826400460,0,3,,,,,0,,,,,0,15.0057,0.0019,,,24,12.8750,0.1572,12.2449,0.0010,24,,,,,0
1.109169,DXDel,HaKiDaS00003,311.869292,12.466678,1760981190300823808,9.917064,10.224061,9.493805,9.932,8.673,DXDel,6550.96246512,3.5127083448800005,2,-0.723207634897,0.44902334423900003,17.022350674600002,122963118695200925,311.869450610, 12.466944350,0.023,0.021,90,436527104,52,56032.721574070,4,35,19.3968,0.0269,,,115000,18.9858,0.0161,17.3474,0.1322,115000,18.7081,0.0231,18.5044,0.0680,115000,18.6473,0.0257,17.7110,0.0338,115000,18.1810,0.0421,16.3291,0.0262,16793912
3.493304,HD36054,HaKiDaS00005,82.5125,23.760389,3416618313279749504,7.666823399999999,8.4182205,6.845208,8.226,4.7989999999999995,HD36054,5339.25279308,1.63264404178,1,-0.792885489588,0.0998230617017,-20.72,136510825124611893, 82.512451350, 23.759419660,0.011,0.011,90,1082208256,129,56735.296076390,1,3,,,,,32,15.0231,0.2005,12.8374,0.3085,16777272,13.2209,0.0010,11.2749,0.0010,16777264,,,,,32,,,,,114720
4.112173,HD36054,HaKiDaS00005,82.5125,23.760389,3416618313279749504,7.666823399999999,8.4182205,6.845208,8.226,4.7989999999999995,HD36054,5339.25279308,1.63264404178,1,-0.792885489588,0.0998230617017,-20.72,136510825128881779, 82.512851060, 23.759292850,0.013,0.013,90,276897792,33,56226.979942130,0,4,,,,,0,,,,,0,,,,,0,13.0302,0.0078,11.1780,0.0010,16777240,11.6403,0.0698,9.3401,0.3255,16777240
4.788604,HD36054,HaKiDaS00005,82.5125,23.760389,3416618313279749504,7.666823399999999,8.4182205,6.845208,8.226,4.7989999999999995,HD36054,5339.25279308,1.63264404178,1,-0.792885489588,0.0998230617017,-20.72,136510825125721549, 82.512616190, 23.759063090,0.067,0.035,0,276979712,33,55779.307430560,0,10,,,,,0,13.9787,0.0012,12.3185,0.0010,16777240,13.6045,0.0010,11.4724,0.0010,16777240,13.0088,0.0118,10.8357,0.0724,16777240,12.2216,0.0131,8.9808,0.0010,16777240
4.852815,HD220838,HaKiDaS00006,351.820717,-26.982591999999997,2380163711714608000,8.997897,9.65563,8.249158,9.392999999999999,6.483,HD220838,4300.36473037,0.796365564454,0,-1.8543888051400004,0.0664976710043,-4.8,75623518188521434,351.819220180,-26.982397400,0.016,0.016,90,276897792,33,56911.463101850,0,5,,,,,0,,,,,0,13.5277,0.0450,12.6363,0.0248,16777240,,,,,0,12.7006,0.0010,10.0651,0.0010,16777232
4.651476,BD+173248,HaKiDaS00009,262.060017,17.508039,4553184509407224576,9.120381,9.537315,8.563454,9.345,7.337999999999999,BD+173248,5151.29420029,2.11557807984,0,-1.6902962163799997,0.129797554303,-6.249849156390001,129012620611890932,262.061191740, 17.508682700,0.042,0.011,0,847568896,101,56213.369363430,3,10,,,,,16416,15.7330,0.0027,14.1722,0.0013,16793912,15.1193,0.0115,15.0233,0.0181,16892216,14.6825,0.0000,13.3120,0.0011,16892216,14.3525,0.0022,12.0893,0.0010,16892216
4.700180,BD+173248,HaKiDaS00009,262.060017,17.508039,4553184509407224576,9.120381,9.537315,8.563454,9.345,7.337999999999999,BD+173248,5151.29420029,2.11557807984,0,-1.6902962163799997,0.129797554303,-6.249849156390001,129012620593951599,262.059400140, 17.509204560,0.009,0.009,90,277348352,33,56355.600532410,0,3,,,,,0,,,,,0,,,,,0,14.2806,0.3623,,,16781336,15.0742,0.0052,14.2667,0.0034,16781336
3.286862,BD+092870,HaKiDaS00015,214.12512900000002,8.463111,3674612772501124608,9.102746,9.658909,8.426986,9.443999999999999,6.869,BD+092870,4604.34539759,1.4742468399200002,0,-2.42811687175,0.0612547195404,23.4506257598,118152141250137501,214.125021460,  8.464017800,0.014,0.014,90,1350643712,161,55591.718171300,1,6,13.7961,0.0401,12.5013,0.0793,16891960,15.0548,0.0020,13.3173,0.0010,16793656,13.8100,0.0272,12.3700,0.1455,16793656,,,,,16416,,,,,16416
3.785107,BD+092870,HaKiDaS00015,214.12512900000002,8.463111,3674612772501124608,9.102746,9.658909,8.426986,9.443999999999999,6.869,BD+092870,4604.34539759,1.4742468399200002,0,-2.42811687175,0.0612547195404,23.4506257598,118152141243137062,214.124457130,  8.463925770,0.016,0.016,90,310456320,37,56678.649837960,0,6,12.7485,0.0427,,,16,15.1072,0.0020,13.4512,0.0010,16777240,14.8603,0.0937,12.9821,0.0202,16777240,14.2634,0.0015,12.5627,0.0010,16778264,,,,,0
4.070004,BD+092870,HaKiDaS00015,214.12512900000002,8.463111,3674612772501124608,9.102746,9.658909,8.426986,9.443999999999999,6.869,BD+092870,4604.34539759,1.4742468399200002,0,-2.42811687175,0.0612547195404,23.4506257598,118152141246387425,214.124625630,  8.464126020,0.030,0.030,90,276901888,33,55326.344525460,0,7,,,,,0,13.9535,0.0556,12.5647,0.1502,16777240,13.5993,0.0010,12.6507,0.0010,16777240,10.4611,0.0010,11.2604,0.0010,24,10.6009,0.0045,10.4430,0.0400,24
