Name,HaKiDaSName,RA,DEC,DateObs,Wmin,Wmax,R,GaiaID,Gmag,Parallax,pmra,pmdec,rv_gaia
BD-14.5890,HaKiDaS00001,314.039958,-13.522228,2001-07-28,348.164496221,530.431082705,60000.0,6888560851915102464,9.942824,0.930153827576,-19.5241089471,-84.37380795850001,122.475394215
HD110184,HaKiDaS00002,190.056975,8.525367,2002-03-21,348.14029823699997,530.389701939,60000.0,3710786979933623424,7.8635116,0.5638240219489999,-15.328131201700002,-9.89875027244,140.528358609
DXDel,HaKiDaS00003,311.869292,12.466678,2004-06-28,501.971169145,789.340606511,60000.0,1760981190300823808,9.917064,1.68492670791,13.230405161300002,7.105699071519999,-40.5824500831
BRAqr,HaKiDaS00004,354.639004,-9.317717,2004-06-28,501.77508818,788.898591389,60000.0,2438710609949867776,11.538099,0.648943623173,9.89423388928,-8.36309298241,53.51148113560001
HD36054,HaKiDaS00005,82.5125,23.760389,2007-01-27,435.41659035,713.747453391,36000.0,3416618313279749504,7.666823399999999,0.43022276685000005,1.8368940945200003,-8.666811377250001,4.64414955548
HD36054,HaKiDaS00005,82.5125,23.760389,2007-01-29,435.414054814,713.744697775,36000.0,3416618313279749504,7.666823399999999,0.43022276685000005,1.8368940945200003,-8.666811377250001,4.64414955548
HD220838,HaKiDaS00006,351.820717,-26.982591999999997,2006-09-14,400.145378545,681.586079779,80000.0,2380163711714608000,8.997897,0.521185079221,-1.24169374237,-13.029201580699999,-22.7709683358
64390,HaKiDaS00007,196.04485,27.723616999999997,2002-03-20,408.421457329,689.397918895,51428.5714286,1460563659764508032,10.252858,3.30026653212,13.3941090324,-16.9419898512,-11.011857519400001
BD+12916,HaKiDaS00008,215.441096,0.782031,2006-03-12,400.166599459,681.5109374030001,60000.0,3654035240588664960,9.157844,0.405147581165,-24.4095046518,-13.877559528299999,-12.726300981300001
BD+173248,HaKiDaS00009,262.060017,17.508039,2004-06-27,289.41589949400003,468.641186196,90000.0,4553184509407224576,9.120381,1.2209060317,-47.746312608800004,-22.411975685500003,-146.022804265
HD100764,HaKiDaS00010,173.93033300000002,-14.595253,2004-06-01,400.07537193699994,681.360703082,60000.0,3560840738097581824,8.5027,3.3197714784,3.86633376923,-16.3730696814,9.788522742689999
TWHer,HaKiDaS00011,268.631279,30.413519,2004-06-28,501.900346577,789.029979713,60000.0,4596935593202765184,11.368922,0.8596407806730001,3.7335436214099995,-2.43170707276,9.95110393425
HIP56948,HaKiDaS00012,175.122346,69.007361,2008-06-16,435.435911319,713.789047073,90000.0,1061266013453102080,8.513497000000001,16.664195782,-127.07440226,-2.6508194449799998,5.28486669945
HD162020,HaKiDaS00013,267.659479,-40.321064,2004-05-23,432.302919751,722.598764531,90000.0,5957920668132624256,8.759494,32.4127590579,20.276404304,-25.319582601700002,-26.549826468899997
RZLyr,HaKiDaS00014,280.909462,32.801278,2004-06-28,502.16984734,789.7095539989999,60000.0,2090986690417092224,11.697901,0.5984747007710001,12.501285723199999,24.6108688625,-217.125549393
BD+092870,HaKiDaS00015,214.12512900000002,8.463111,2003-02-21,408.597211915,689.6121954739999,50000.0,3674612772501124608,9.102746,0.792245178223,-54.2396902449,2.5199291708200002,-119.55834987700001
M4L4511,HaKiDaS00016,245.96001299999998,-26.566956,2008-08-21,506.024123948,788.6252936530001,60000.0,6045464750320089728,10.853139,0.5746117136259999,-12.6032027985,-19.7546266775,66.3761398546
RSBoo,HaKiDaS00018,218.387004,31.757508,2004-06-28,501.82406951699994,789.009695876,60000.0,1286188056265485952,10.527611,1.3623745456,4.72663800645,-0.574544211777,15.4989871645
HD252041,HaKiDaS00019,92.09925,28.978422,2007-01-27,435.460727746,713.808651603,36000.0,3436654056540592384,8.380491000000001,0.8717044830189999,1.67502281428,-3.62835347732,-12.6161340772
HD74462,HaKiDaS00020,132.08578300000002,67.452228,2001-10-26,303.814372685,483.868397755,90000.0,1093220673214868224,8.349639999999999,1.7707235306,54.4479204058,-93.9252870281,-168.312377125
