Name,Teff,logg,RefstarID,[Fe/H],[Fe/H]error,rv_HDS
BD-14.5890,4904.62367086,2.07916073202,0,-2.06030923428,0.0179213782573,3.48076246998
HD110184,4273.52604005,0.488027707061,0,-2.52733210785,0.395136152981,3.47000210306
DXDel,6550.96246512,3.5127083448800005,2,-0.723207634897,0.44902334423900003,17.022350674600002
BRAqr,7022.25955815,3.3766528244,1,-0.27412778326,0.077291827115,28.358801383600003
HD36054,5339.25279308,1.63264404178,1,-0.792885489588,0.0998230617017,-20.72
HD36054,5339.25279308,1.63264404178,1,-0.803019482857,0.115340601386,-21.47
HD220838,4300.36473037,0.796365564454,0,-1.8543888051400004,0.0664976710043,-4.8
64390,6672.01254654,4.07647498211,0,-1.4939206541299999,0.151153163189,1.7912367808200003
BD+12916,4094.30112845,0.565249649937,0,-1.9321228237299999,0.07619796274610001,19.45
BD+173248,5151.29420029,2.11557807984,0,-1.6902962163799997,0.129797554303,-6.249849156390001
HD100764,4591.96326096,2.75722274559,1,-0.599711393718,0.213771622878,-26.5915272123
TWHer,6796.18716598,3.4730335599599997,0,-1.5023589665700001,0.054417561577099996,-2.4220554455700003
HIP56948,5725.80390117,4.38945465774,2,0.054060507980699994,0.054331120008899995,-11.41
HD162020,4581.6247123,4.46799763158,1,-0.17078387615899998,0.137402973672,12.139693147200001
RZLyr,7285.34054578,3.4321514687800003,0,-1.58831130184,0.210486167449,2.98477840254
BD+092870,4604.34539759,1.4742468399200002,0,-2.42811687175,0.0612547195404,23.4506257598
M4L4511,4100.19194741,1.9365670609299999,1,-0.205561530663,0.311378351879,-28.98
RSBoo,7084.45742973,3.6231987948800004,2,-0.14760378639799998,0.131856480486,-20.256427115999998
HD252041,4826.91788395,1.9409282066900002,1,-0.255092119852,0.11629869169099999,-17.07
HD74462,4556.54775732,1.85066320882,0,-2.0652730163,0.052931475499400006,19.961661398
HD74462,4556.54775732,1.85066320882,0,-1.3808133550900001,0.0715424384609,17.46
HD74156,5926.54096874,4.10175829791,2,0.047730684961599996,0.0493250767442,20.9309175609
HD150706,5826.49076914,4.43226420713,2,-0.0720996085134,0.0368981743055,-5.02768188556
HD141531,4338.37029902,1.11814153197,0,-1.56852599132,0.0580557109134,-8.56348250702
DMCyg,6331.84725408,3.4980724095199998,0,-1.3924211469299999,0.258147094618,18.0695315566
HD204543,4645.75766485,1.57626913668,0,-1.7022898370100001,0.0466881573101,27.1255379729
VXHer,6880.27455262,2.99548942888,0,-1.8822546261200002,0.264170932063,-12.712255912
VYSer,6661.12838308,3.1116683581099998,0,-1.99629194945,0.306262109415,-20.5489486576
HD112869,3856.97577166,1.61687443111,0,-1.2314411764700002,0.446829431279,23.0307025806
HD6268,4721.93903906,1.5349002236700002,0,-1.0473198759,0.270120730712,13.2040923862
61990,6281.69283676,4.03815442615,2,-0.253632049675,0.0634073330018,1.16746601144
HD107752,4777.15530554,1.68500588646,0,-2.62490584974,0.10104866033900001,10.262623204299999
HD33605,4285.12994594,2.48780785746,1,0.193160404569,0.114754785587,-22.72
HD130322,5355.38050027,4.50118162312,2,-0.0464641570087,0.054287232602,-15.062937208800001
HD169830,6216.15974506,4.02646803762,2,-0.896506865002,0.216450306564,12.72
