Name,[Mg1/H],[Mg1/H]error,[Al1/H],[Al1/H]error,[Si1/H],[Si1/H]error,[Ca1/H],[Ca1/H]error,[Sc2/H],[Sc2/H]error,[Ti1/H],[Ti1/H]error,[Ti2/H],[Ti2/H]error,[V1/H],[V1/H]error,[Cr1/H],[Cr1/H]error,[Cr2/H],[Cr2/H]error,[Mn1/H],[Mn1/H]error,[Co1/H],[Co1/H]error,[Ni1/H],[Ni1/H]error,[Zn1/H],[Zn1/H]error
BD-14.5890,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD110184,,,,,,,-0.36200000000000004,0.0,-1.163,0.064,-0.42,0.0,-1.811,0.0,,,-0.299,0.0,,,,,,,-0.434,0.0,,
DXDel,,,,,-0.185,0.0,-0.5525,0.1215,,,0.3615,0.1815,-1.40633333333,0.173684260145,0.527200887783,0.56018164331,-0.14275,0.503910396301,,,-0.135370180299,0.0,1.30302066629,0.184789993589,-1.09,0.0,,
BRAqr,,,,,,,,,-0.469,0.0,0.17633333333299997,0.18969683415600003,0.29100000000000004,0.06,-0.373068254987,1.31679488544,0.075,0.081,,,0.0175643664067,0.0,,,0.0164,0.135331592764,,
HD36054,1.28990679761,0.0,,,,,0.416666666667,0.0995869246214,-0.33,0.09214481356360002,0.5894,0.06109206167740001,-0.509333333333,0.122011839134,1.2369066553899999,0.00950638925127,0.652333333333,0.14652720642300002,,,1.53039444074,0.0,0.441473034139,0.145957287621,0.313,0.129170983031,,
HD36054,1.2926593364399999,0.0,,,,,0.39799999999999996,0.121130783316,-0.362666666667,0.08905928113089999,0.5602,0.040651691231699996,-0.46299999999999997,0.191878868039,1.17998254359,0.00121193727156,0.6509999999999999,0.17261904105099998,,,1.49833746148,0.0,0.37590305266900004,0.20958136837299998,0.28,0.129063660925,,
HD220838,,,,,0.94,0.0,0.9694,0.029014479144000002,0.7440000000000001,0.011000000000000001,0.8234,0.0643509129694,0.9307142857140001,0.0944725421723,,,,,,,0.603417012345,0.17023659987599998,,,0.74475,0.045559713563599995,,
64390,1.2695721638,0.0,,,,,1.1374285714299999,0.1999670381,1.28433333333,0.137223256856,1.71575,0.136894804503,0.74775,0.233316710717,,,1.807,0.0,,,2.35144618209,0.0,,,1.915,0.0,,
BD+12916,,,,,0.8690000000000001,0.0,0.5685,0.0351034186369,0.6622,0.024053274205400002,0.336,0.0740891355058,0.8935714285709999,0.097466268367,,,,,,,,,,,0.5558,0.10822827726600001,,
BD+173248,0.49127539690899996,0.0,,,0.843,0.0,1.10016666667,0.0661725438196,0.9114,0.13753341412200001,1.1698,0.127820812077,1.0265,0.166770051268,,,1.145,0.0,,,,,,,0.888666666667,0.0938130528705,,
HD100764,,,,,,,-0.7635,0.1595,-0.075,0.0,-0.6115,0.1695,0.254,0.29,-0.57463501346,0.544121942766,-0.205,0.0999733297768,,,0.149112405135,0.0,-0.587164772175,0.569047796304,-0.5274,0.279255152146,,
TWHer,,,,,,,,,1.216,0.0,2.615,0.0,1.86,0.0,,,1.7169999999999999,0.0,,,,,,,,,,
HIP56948,0.06519245680369999,0.0,,,0.0165,0.0125,-0.0075,0.030203476621099998,0.005,0.016837458240499998,-0.0262,0.062302701921100004,0.05725,0.06977060627510001,-0.130377531672,0.021661634955700004,-0.0218888888889,0.0515826078451,,,-0.018781221984,0.0445723780192,-0.045706598349900006,0.025640985950700003,-0.00844444444444,0.0276610882373,,
