#lambda (Ang), continuum-normalized flux
6300.080, 0.9954
6300.220, 0.9943
6300.360, 0.9929
6300.500, 0.9913
6300.640, 0.9894
6300.780, 0.9875
6300.920, 0.9854
6301.060, 0.9834
6301.200, 0.9817
6301.340, 0.9803
6301.480, 0.9794
6301.620, 0.9791
6301.760, 0.9793
6301.900, 0.9800
6302.040, 0.9812
6302.180, 0.9827
6302.320, 0.9844
6302.460, 0.9862
6302.600, 0.9880
6302.740, 0.9898
6302.880, 0.9915
6303.020, 0.9930
6303.160, 0.9944
6303.300, 0.9956
6303.440, 0.9966
6303.580, 0.9975
6303.720, 0.9981
6303.860, 0.9986
6304.000, 0.9990
6304.140, 0.9992
6304.280, 0.9994
6304.420, 0.9995
6304.560, 0.9996
6304.700, 0.9996
6304.840, 0.9996
6304.980, 0.9996
6305.120, 0.9996
6305.260, 0.9997
6305.400, 0.9997
6305.540, 0.9997
6305.680, 0.9997
6305.820, 0.9997
6305.960, 0.9997
6306.100, 0.9997
6306.240, 0.9998
6306.380, 0.9998
6306.520, 0.9998
6306.660, 0.9998
6306.800, 0.9998
6306.940, 0.9998
6307.080, 0.9998
6307.220, 0.9998
6307.360, 0.9998
6307.500, 0.9998
6307.640, 0.9998
6307.780, 0.9998
6307.920, 0.9998
6308.060, 0.9997
6308.200, 0.9997
6308.340, 0.9997
6308.480, 0.9997
6308.620, 0.9996
6308.760, 0.9996
6308.900, 0.9995
6309.040, 0.9994
6309.180, 0.9993
6309.320, 0.9992
6309.460, 0.9991
6309.600, 0.9990
6309.740, 0.9990
6309.880, 0.9989
6310.020, 0.9989
6310.160, 0.9989
6310.300, 0.9989
6310.440, 0.9989
6310.580, 0.9989
6310.720, 0.9989
6310.860, 0.9989
6311.000, 0.9989
6311.140, 0.9989
6311.280, 0.9989
6311.420, 0.9989
6311.560, 0.9989
6311.700, 0.9990
6311.840, 0.9990
6311.980, 0.9991
6312.120, 0.9992
6312.260, 0.9993
6312.400, 0.9993
6312.540, 0.9994
6312.680, 0.9994
6312.820, 0.9994
6312.960, 0.9994
6313.100, 0.9993
6313.240, 0.9991
6313.380, 0.9988
6313.520, 0.9984
6313.660, 0.9978
6313.800, 0.9972
6313.940, 0.9964
6314.080, 0.9955
6314.220, 0.9947
6314.360, 0.9938
6314.500, 0.9931
6314.640, 0.9925
6314.780, 0.9921
6314.920, 0.9919
6315.060, 0.9920
6315.200, 0.9922
6315.340, 0.9927
6315.480, 0.9933
6315.620, 0.9939
6315.760, 0.9947
6315.900, 0.9954
6316.040, 0.9960
6316.180, 0.9966
6316.320, 0.9970
6316.460, 0.9971
6316.600, 0.9971
6316.740, 0.9967
6316.880, 0.9960
6317.020, 0.9950
6317.160, 0.9938
6317.300, 0.9923
6317.440, 0.9908
6317.580, 0.9893
6317.720, 0.9880
6317.860, 0.9871
6318.000, 0.9866
6318.140, 0.9866
6318.280, 0.9871
6318.420, 0.9880
6318.560, 0.9892
6318.700, 0.9906
6318.840, 0.9920
6318.980, 0.9934
6319.120, 0.9947
6319.260, 0.9958
6319.400, 0.9966
6319.540, 0.9974
6319.680, 0.9979
6319.820, 0.9983
6319.960, 0.9986
6320.100, 0.9988
6320.240, 0.9990
6320.380, 0.9991
6320.520, 0.9992
6320.660, 0.9992
6320.800, 0.9992
6320.940, 0.9991
6321.080, 0.9990
6321.220, 0.9989
6321.360, 0.9986
6321.500, 0.9983
6321.640, 0.9979
6321.780, 0.9973
6321.920, 0.9967
6322.060, 0.9961
6322.200, 0.9955
6322.340, 0.9949
6322.480, 0.9945
6322.620, 0.9943
6322.760, 0.9943
6322.900, 0.9945
6323.040, 0.9949
6323.180, 0.9955
6323.320, 0.9962
6323.460, 0.9968
6323.600, 0.9975
6323.740, 0.9981
6323.880, 0.9986
6324.020, 0.9990
6324.160, 0.9993
6324.300, 0.9995
6324.440, 0.9996
6324.580, 0.9997
6324.720, 0.9998
6324.860, 0.9998
6325.000, 0.9998
6325.140, 0.9998
6325.280, 0.9998
6325.420, 0.9998
6325.560, 0.9998
6325.700, 0.9998
6325.840, 0.9998
6325.980, 0.9998
6326.120, 0.9997
6326.260, 0.9997
6326.400, 0.9996
6326.540, 0.9995
6326.680, 0.9994
6326.820, 0.9992
6326.960, 0.9991
6327.100, 0.9990
6327.240, 0.9988
6327.380, 0.9987
6327.520, 0.9987
6327.660, 0.9987
6327.800, 0.9987
6327.940, 0.9988
6328.080, 0.9989
6328.220, 0.9991
6328.360, 0.9992
6328.500, 0.9993
6328.640, 0.9994
6328.780, 0.9995
6328.920, 0.9995
6329.060, 0.9995
6329.200, 0.9995
6329.340, 0.9995
6329.480, 0.9994
6329.620, 0.9993
6329.760, 0.9992
6329.900, 0.9991
6330.040, 0.9990
6330.180, 0.9989
6330.320, 0.9988
6330.460, 0.9988
6330.600, 0.9987
6330.740, 0.9988
6330.880, 0.9988
6331.020, 0.9988
6331.160, 0.9989
6331.300, 0.9990
6331.440, 0.9991
6331.580, 0.9992
6331.720, 0.9992
6331.860, 0.9993
6332.000, 0.9994
6332.140, 0.9995
6332.280, 0.9995
6332.420, 0.9996
6332.560, 0.9996
6332.700, 0.9997
6332.840, 0.9997
6332.980, 0.9997
6333.120, 0.9997
6333.260, 0.9997
6333.400, 0.9996
6333.540, 0.9994
6333.680, 0.9990
6333.820, 0.9985
6333.960, 0.9978
6334.100, 0.9968
6334.240, 0.9955
6334.380, 0.9939
6334.520, 0.9920
6334.660, 0.9899
6334.800, 0.9878
6334.940, 0.9858
6335.080, 0.9841
6335.220, 0.9827
6335.360, 0.9819
6335.500, 0.9815
6335.640, 0.9816
6335.780, 0.9819
6335.920, 0.9823
6336.060, 0.9827
6336.200, 0.9829
6336.340, 0.9831
6336.480, 0.9832
6336.620, 0.9833
6336.760, 0.9836
6336.900, 0.9842
6337.040, 0.9852
6337.180, 0.9865
6337.320, 0.9881
6337.460, 0.9898
6337.600, 0.9915
6337.740, 0.9931
6337.880, 0.9945
6338.020, 0.9955
6338.160, 0.9963
6338.300, 0.9968
6338.440, 0.9970
6338.580, 0.9971
6338.720, 0.9971
6338.860, 0.9971
6339.000, 0.9971
6339.140, 0.9972
6339.280, 0.9974
6339.420, 0.9976
6339.560, 0.9979
6339.700, 0.9982
6339.840, 0.9985
6339.980, 0.9988
6340.120, 0.9991
6340.260, 0.9993
6340.400, 0.9995
6340.540, 0.9996
6340.680, 0.9997
6340.820, 0.9997
6340.960, 0.9998
6341.100, 0.9998
6341.240, 0.9998
6341.380, 0.9998
6341.520, 0.9998
6341.660, 0.9998
6341.800, 0.9998
6341.940, 0.9998
6342.080, 0.9998
6342.220, 0.9997
6342.360, 0.9997
6342.500, 0.9997
6342.640, 0.9996
6342.780, 0.9995
6342.920, 0.9993
6343.060, 0.9991
6343.200, 0.9989
6343.340, 0.9986
6343.480, 0.9983
6343.620, 0.9980
6343.760, 0.9977
6343.900, 0.9975
6344.040, 0.9973
6344.180, 0.9973
6344.320, 0.9973
6344.460, 0.9975
6344.600, 0.9977
6344.740, 0.9980
6344.880, 0.9983
6345.020, 0.9986
6345.160, 0.9989
6345.300, 0.9991
6345.440, 0.9993
6345.580, 0.9993
6345.720, 0.9993
6345.860, 0.9993
6346.000, 0.9991
6346.140, 0.9989
6346.280, 0.9986
6346.420, 0.9983
6346.560, 0.9980
6346.700, 0.9977
6346.840, 0.9975
6346.980, 0.9973
6347.120, 0.9972
6347.260, 0.9973
6347.400, 0.9974
6347.540, 0.9976
6347.680, 0.9979
6347.820, 0.9982
6347.960, 0.9985
6348.100, 0.9988
6348.240, 0.9991
6348.380, 0.9993
6348.520, 0.9994
6348.660, 0.9996
6348.800, 0.9996
6348.940, 0.9997
6349.080, 0.9997
6349.220, 0.9997
6349.360, 0.9997
6349.500, 0.9997
6349.640, 0.9997
6349.780, 0.9997
6349.920, 0.9997
6350.060, 0.9997
6350.200, 0.9997
6350.340, 0.9997
6350.480, 0.9997
6350.620, 0.9997
6350.760, 0.9997
6350.900, 0.9997
6351.040, 0.9997
6351.180, 0.9997
6351.320, 0.9997
6351.460, 0.9997
6351.600, 0.9997
6351.740, 0.9998
6351.880, 0.9998
6352.020, 0.9998
6352.160, 0.9998
6352.300, 0.9998
6352.440, 0.9998
6352.580, 0.9998
6352.720, 0.9997
6352.860, 0.9997
6353.000, 0.9997
6353.140, 0.9996
6353.280, 0.9996
6353.420, 0.9995
6353.560, 0.9993
6353.700, 0.9991
6353.840, 0.9989
6353.980, 0.9985
6354.120, 0.9981
6354.260, 0.9976
6354.400, 0.9970
6354.540, 0.9965
6354.680, 0.9960
6354.820, 0.9957
6354.960, 0.9954
6355.100, 0.9954
6355.240, 0.9955
6355.380, 0.9958
6355.520, 0.9962
6355.660, 0.9967
6355.800, 0.9973
6355.940, 0.9978
6356.080, 0.9983
6356.220, 0.9987
6356.360, 0.9990
6356.500, 0.9993
6356.640, 0.9994
6356.780, 0.9995
6356.920, 0.9996
6357.060, 0.9995
6357.200, 0.9994
6357.340, 0.9993
6357.480, 0.9990
6357.620, 0.9988
6357.760, 0.9984
6357.900, 0.9980
6358.040, 0.9975
6358.180, 0.9971
6358.320, 0.9967
6358.460, 0.9964
6358.600, 0.9962
6358.740, 0.9962
6358.880, 0.9963
6359.020, 0.9965
6359.160, 0.9969
6359.300, 0.9973
6359.440, 0.9977
6359.580, 0.9981
6359.720, 0.9985
6359.860, 0.9988
6360.000, 0.9990
6360.140, 0.9992
6360.280, 0.9992
6360.420, 0.9993
6360.560, 0.9993
6360.700, 0.9993
6360.840, 0.9993
6360.980, 0.9993
6361.120, 0.9992
6361.260, 0.9992
6361.400, 0.9991
6361.540, 0.9991
6361.680, 0.9990
6361.820, 0.9989
6361.960, 0.9987
6362.100, 0.9986
6362.240, 0.9985
6362.380, 0.9984
6362.520, 0.9983
6362.660, 0.9983
6362.800, 0.9983
6362.940, 0.9983
6363.080, 0.9984
6363.220, 0.9985
6363.360, 0.9986
6363.500, 0.9987
6363.640, 0.9988
6363.780, 0.9988
6363.920, 0.9988
6364.060, 0.9989
6364.200, 0.9989
6364.340, 0.9989
6364.480, 0.9989
6364.620, 0.9990
6364.760, 0.9990
6364.900, 0.9991
6365.040, 0.9991
6365.180, 0.9992
6365.320, 0.9993
6365.460, 0.9993
6365.600, 0.9993
6365.740, 0.9993
6365.880, 0.9992
