# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Sep 18 04:09:25 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Subaru/Hyper Suprime-Cam (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  gmag    rmag    imag    zmag    ymag    NB816mag  NB921mag
0.0015467 -1.00000 10.00000 0.0900000036 1.0816895962    0.090 -3.240  3.4437  5.359    1  0.000  0.545     0.00     0.00 -1 -5.05e-17      0.00 7.453e-01 2.531e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.869 17.462 15.473 12.811 11.842 11.576 12.145 11.632
0.0015467 -1.00000 10.00000 0.0977863744 1.1523445845    0.098 -3.052  3.4702  5.313    1  0.000  0.545     0.00     0.00 -1 -7.88e-17      0.00 7.445e-01 2.539e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.399 16.267 14.338 12.180 11.363 11.127 11.649 11.192
0.0015467 -1.00000 10.00000 0.1000000015 1.1711064577    0.100 -3.001  3.4774  5.301    1  0.000  0.545     0.00     0.00 -1 -8.88e-17      0.00 7.443e-01 2.541e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.272 15.960 14.048 12.015 11.236 11.007 11.515 11.074
0.0015467 -1.00000 10.00000 0.1044455096 1.2072035074    0.104 -2.934  3.4853  5.284    1  0.000  0.545     0.00     0.00 -1 -1.03e-16      0.00 7.439e-01 2.545e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 12.105 15.597 13.702 11.808 11.070 10.848 11.341 10.918
0.0015467 -1.00000 10.00000 0.1200000048 1.3193155527    0.120 -2.720  3.5107  5.232    1  0.000  0.545     0.00     0.00 -1 -1.68e-16      0.00 7.426e-01 2.558e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.569 14.502 12.679 11.167 10.546 10.344 10.787 10.417
0.0015467 -1.00000 10.00000 0.1400000006 1.4384527206    0.140 -2.535  3.5285  5.185    1  0.000  0.545     0.00     0.00 -1  -2.5e-16      0.00 7.413e-01 2.571e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 11.108 13.705 11.947 10.647 10.095 9.905 10.315 9.979
0.0015467 -1.00000 10.00000 0.1599999964 1.5372931957    0.160 -2.395  3.5397  5.148    1  0.000  0.545     0.00     0.00 -1 -3.38e-16      0.00 7.402e-01 2.582e-01 2.929e-04 7.903e-05 7.168e-04 -1.000 1.629e-03 10.758 13.165 11.455 10.266 9.751 9.568 9.958 9.642
0.0015467 -1.00000 10.00000 0.2000000179 1.6938792467    0.200 -2.176  3.5545  5.085    1  0.000  0.545     0.00     0.00 -1 -5.37e-16      0.00 7.388e-01 2.596e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 10.211 12.394 10.748 9.685 9.214 9.040 9.407 9.113
0.0015467 -1.00000 10.00000 0.2500000298 1.8403259516    0.250 -1.971  3.5660  5.023    1  0.000  0.545     0.00     0.00 -1 -4.59e-16      0.00 7.383e-01 2.601e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.698 11.719 10.124 9.150 8.711 8.544 8.894 8.615
0.0015467 -1.00000 10.00000 0.3000000417 1.9529141188    0.300 -1.811  3.5748  4.978    1  0.000  0.545     0.00     0.00 -1 -4.06e-16      0.00 7.384e-01 2.600e-01 2.929e-04 7.904e-05 7.168e-04 -1.000 1.629e-03 9.299 11.208 9.654 8.736 8.318 8.157 8.495 8.227
