# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Tue Oct 13 10:03:06 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Subaru/Hyper Suprime-Cam (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
 Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  gmag    rmag    imag    zmag    ymag    NB816mag  NB921mag
0.00015547 -2.00000 10.00000 0.0936335474 1.1156111956    0.094 -3.051  3.5131  5.464    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.77e-17      0.00 7.480e-01 2.519e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 12.397 15.103 13.385 12.208 11.780 11.639 11.983 11.698
0.00015547 -2.00000 10.00000 0.0987750962 1.1607921124    0.099 -2.892  3.5353  5.417    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -1e-16      0.00 7.469e-01 2.529e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 12.001 14.350 12.742 11.807 11.440 11.302 11.613 11.366
0.00015547 -2.00000 10.00000 0.1035686582 1.2002434731    0.103 -2.752  3.5549  5.375    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-16      0.00 7.459e-01 2.539e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 11.650 13.697 12.208 11.447 11.129 10.998 11.280 11.062
0.00015547 -2.00000 10.00000 0.1234388798 1.3415665627    0.123 -2.477  3.5826  5.288    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.71e-16      0.00 7.432e-01 2.566e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 10.962 12.619 11.334 10.745 10.484 10.366 10.611 10.427
0.00015547 -2.00000 10.00000 0.1433091164 1.4560320377    0.143 -2.302  3.5961  5.232    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.02e-16      0.00 7.414e-01 2.584e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.524 12.014 10.836 10.301 10.062 9.953 10.179 10.011
0.00015547 -2.00000 10.00000 0.1631793380 1.5515257120    0.163 -2.165  3.6049  5.186    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.43e-16      0.00 7.403e-01 2.596e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 10.183 11.573 10.460 9.955 9.730 9.626 9.841 9.681
0.00015547 -2.00000 10.00000 0.2029198259 1.7036917210    0.203 -1.951  3.6167  5.114    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.67e-16      0.00 7.395e-01 2.604e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 9.647 10.910 9.881 9.413 9.205 9.110 9.307 9.161
0.00015547 -2.00000 10.00000 0.2525954247 1.8468697071    0.252 -1.753  3.6273  5.054    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-15      0.00 7.396e-01 2.603e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.152 10.307 9.349 8.912 8.719 8.631 8.813 8.678
0.00015547 -2.00000 10.00000 0.3022710085 1.9574397802    0.302 -1.600  3.6361  5.014    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-15      0.00 7.397e-01 2.601e-01 2.942e-05 7.941e-06 7.201e-05 -1.000 1.637e-04 8.770 9.842 8.937 8.525 8.345 8.263 8.433 8.307
0.00015547 -2.00000 10.00000 0.3519465625 2.0465965271    0.352 -1.474  3.6442  4.987    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-15      0.00 7.400e-01 2.598e-01 2.940e-05 7.942e-06 7.201e-05 -1.000 1.636e-04 8.455 9.455 8.596 8.206 8.037 7.961 8.119 8.001
0.00015547 -2.00000 10.00000 0.4016221464 2.1207315922    0.401 -1.352  3.6530  4.957    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.93e-15      0.00 7.503e-01 2.496e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 8.150 9.076 8.265 7.897 7.740 7.670 7.816 7.707
0.00015547 -2.00000 10.00000 0.4512977004 2.1838121414    0.451 -1.202  3.6673  4.915    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.1e-15      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 7.775 8.590 7.852 7.519 7.380 7.320 7.446 7.351
